m11,m21,m31
1.668142,1.672706,1.62003
.3651379,.5049195,.4868704
.291851,.4384266,.3422042
.3830818,.3036631,.3373264
.2466566,.2462574,.2289572
1.249417,1.38741,1.245163
.4800073,.5997016,.540002
.4194,.3905247,.4677865
.3973424,.3286629,.4286031
1.547787,1.285227,1.307794
.7376194,.5284646,.6230175
.5970408,.4410615,.5094664
1.485737,1.066235,1.158648
.6376384,.5700833,.5636791
1.298839,1.109517,1.188416
